province,altimetry,n_farms,scale_f,scale_w
Agrigento,Collina,3763,1.0881,1.0554
Agrigento,Montagna,641,1.1372,1.1504
Agrigento,Pianura,376,1.1076,0.9904
Alessandria,Collina,82,0.9759,1.1059
Alessandria,Pianura,185,1.041,0.9813
Ancona,Collina,2776,1.0893,1.1349
Ancona,Montagna,466,1.0935,1.0345
Arezzo,Collina,552,1.2076,1.1157
Arezzo,Montagna,23,1.0305,0.9217
Ascoli Piceno,Collina,510,1.1537,1.0391
Ascoli Piceno,Montagna,25,0.9926,0.9745
Avellino,Collina,948,1.0527,0.9625
Avellino,Montagna,3388,1.0567,0.9737
Bari,Collina,4711,1.0752,1.1576
Bari,Pianura,490,1.1222,1.0871
Barletta-Andria-Trani,Collina,880,1.0683,1.0855
Barletta-Andria-Trani,Pianura,257,1.0796,0.9988
Benevento,Collina,1685,1.033,0.9382
Benevento,Montagna,1581,1.0188,0.9961
Bergamo,Collina,16,1.0034,1.065
Bergamo,Pianura,67,1.0965,1.0278
Bologna,Collina,283,1.1137,1.0083
Bologna,Montagna,12,1.0369,1.1681
Bologna,Pianura,733,1.0983,1.0929
Brescia,Collina,43,1.0285,0.9577
Brescia,Pianura,149,1.1313,0.9914
Brindisi,Collina,376,0.9412,1.05
Brindisi,Pianura,1077,0.9561,1.0838
Cagliari,Collina,40,1.0562,1.0037
Cagliari,Pianura,210,0.9838,0.9795
Caltanissetta,Collina,4162,1.108,1.0846
Caltanissetta,Pianura,636,1.1281,1.0983
Campobasso,Collina,5174,1.0798,1.0526
Campobasso,Montagna,1838,1.0499,0.9539
Caserta,Collina,219,1.1368,0.9222
Caserta,Montagna,13,1.1316,1.0277
Caserta,Pianura,328,1.1079,1.0371
Catania,Collina,3027,1.1432,1.0664
Catania,Montagna,351,1.1052,1.0979
Catania,Pianura,339,1.0365,1.086
Catanzaro,Collina,401,1.1085,1.0018
Catanzaro,Montagna,44,1.1095,0.8755
Catanzaro,Pianura,34,1.1183,0.8211
Chieti,Collina,3024,1.1416,1.026
Chieti,Montagna,209,1.1013,0.9204
Cosenza,Collina,1115,1.1462,0.9356
Cosenza,Montagna,375,1.1142,1.031
Cosenza,Pianura,218,1.1774,0.9845
Cremona,Pianura,164,1.0392,1.0068
Crotone,Collina,232,1.2854,1.1418
Crotone,Montagna,61,1.0269,1.1156
Crotone,Pianura,982,1.1263,1.1077
Cuneo,Collina,88,1.094,0.9396
Cuneo,Montagna,22,0.9504,0.8
Cuneo,Pianura,127,1.0061,0.974
Enna,Collina,3230,1.0998,1.063
Enna,Montagna,718,1.0861,1.0573
Fermo,Collina,1168,1.0662,1.1366
Ferrara,Pianura,1155,1.2043,1.2
Firenze,Collina,143,1.2376,1.0631
