province,altimetry,n_farms,percent,scale_f,scale_w
Agrigento,Collina,3763,0.05,1,1.15
Agrigento,Montagna,641,0.26,1.11,1.15
Agrigento,Pianura,376,0.06,1.07,1.15
Alessandria,Collina,82,0.4,0.94,1.1
Alessandria,Pianura,185,0.28,0.97,0.96
Ancona,Collina,2776,0.12,1.03,0.93
Ancona,Montagna,466,0.33,1.01,0.87
Arezzo,Collina,552,0.37,1.08,1.14
Arezzo,Montagna,23,0.22,0.77,0.8
Ascoli Piceno,Collina,510,0.1,1.03,0.95
Ascoli Piceno,Montagna,25,0.35,0.97,1.0
Avellino,Collina,948,0.02,1.02,0.88
Avellino,Montagna,3388,0.07,0.99,0.93
Bari,Collina,4711,0.04,1.02,1.2
Bari,Pianura,490,0.11,1.07,1.2
Barletta-Andria-Trani,Collina,880,0.26,0.92,1.2
Barletta-Andria-Trani,Pianura,257,0.18,1.06,1.2
Benevento,Collina,1685,0.09,0.97,0.88
Benevento,Montagna,1581,0.12,1,0.89
Bergamo,Collina,16,0.51,1.14,1.09
Bergamo,Pianura,67,0.38,0.84,1.03
Bologna,Collina,283,0.04,0.94,0.89
Bologna,Montagna,12,0.94,1.05,1.81
Bologna,Pianura,733,0.1,0.96,0.99
Brescia,Collina,43,0.32,0.98,0.9
Brescia,Pianura,149,0.15,1.02,0.99
Brindisi,Collina,376,0.21,1.05,1.2
Brindisi,Pianura,1077,0.18,0.96,1.2
Cagliari,Collina,40,0.65,0.72,1.15
Cagliari,Pianura,210,0.18,0.9,0.96
Caltanissetta,Collina,4162,0.01,1.01,1.15
Caltanissetta,Pianura,636,0.16,1,1.15
Campobasso,Collina,5174,0.05,1.04,0.95
Campobasso,Montagna,1838,0.13,0.98,0.83
Caserta,Collina,219,0.18,1.06,0.86
Caserta,Montagna,13,0.9,1.23,1.15
Caserta,Pianura,328,0.08,0.98,0.85
Catania,Collina,3027,0.02,1.04,1.1
Catania,Montagna,351,0.54,1.08,1.15
Catania,Pianura,339,0.39,0.88,1.15
Catanzaro,Collina,401,0.21,1.19,0.93
Catanzaro,Montagna,44,0.46,0.79,0.44
Catanzaro,Pianura,34,0.59,1.39,0.8
Chieti,Collina,3024,0.04,1.11,0.94
Chieti,Montagna,209,0.2,1.04,0.87
Cosenza,Collina,1115,0.13,1.12,0.74
Cosenza,Montagna,375,0.29,1.04,0.79
Cosenza,Pianura,218,0.07,1.13,0.96
Cremona,Pianura,164,0.09,1.01,1
Crotone,Collina,232,0.75,1.01,0.88
Crotone,Montagna,61,0.94,1.08,1.37
Crotone,Pianura,982,0.16,1,1
Cuneo,Collina,88,0.28,1.12,0.59
Cuneo,Montagna,22,0.42,0.72,0.94
Cuneo,Pianura,127,0.24,0.91,0.96
Enna,Collina,3230,0.03,1.02,1.15
Enna,Montagna,718,0.39,0.97,1.15
Fermo,Collina,1168,0.32,0.75,0.97
Ferrara,Pianura,1155,0.02,1.18,0.97
Firenze,Collina,143,0.41,1.18,1.04
Firenze,Montagna,17,0.9,1.55,1.13
Firenze,Pianura,19,2.18,1.59,0.98
Foggia,Collina,6325,0.01,1,1.2
Foggia,Montagna,999,0.11,1.05,1.2
Foggia,Pianura,9956,0.08,1.06,1.2
Forlì-Cesena,Collina,82,0.3,1.34,1.14
Forlì-Cesena,Pianura,199,0.15,1.09,0.92
Frosinone,Collina,291,0.2,1.01,0.69
Frosinone,Montagna,69,0.7,1.1,0.32
